price|beds|baths|sqft|postal-code
195000|2|2|1485|22710
748999|4|5|5120|22713
89000|1|1|900|22710
89000|1|1|840|22710
450000|3|3|2520|22710
245000|2|2|1068|22713
202000|2|2|1325|22710
425000|3|3|2833|22710
154500|2|2|1300|22710
175000|2|2||22710
238000|2|2|1327|22710
199000|2|2|1300|22710
229999|2|2|1327|22710
1000000|3|3||22710
72830|1|1|740|22710
289000|2|2|1523|22710
178000|2|2|1733|22560
429000|3|3||22560
159000|2|2|1800|22704
235000|2|2|1327|22710
995000|3|4|3980|22713
209000|2|2|1300|22713
89000|1|1|749|22744
449000|3|3|2600|22710
249000|3|2|1399|22710
183000|2|2|1200|22710
298500|3|2|1828|22740
189000|1|2|1672|22710
209000|2|2|1672|22710
299000|3|2|1506|22710
175000|2|2||22710
375000|2|2|1629|22710
174500|2|2||22710
289000|2|2|1607|22710
475900|3|2|2251|22710
229000|2|2|940|22710
499000|3|3|1699|22710
97500|1|2||22710
284000|3|2|1906|22710
320000|2|2|2020|22714
410000|3|3|2800|22710
225000|2|2|1879|22710
449000|4|3|3800|22710
230000|2|2|1485|22710
183000|2|2|1250|22713
380000|3|3|2221|22710
235000|2|2|1945|22710
225000|2|2|1417|22710
110000|2|2|1206|22710
424000|3|3|2833|22710
198810|2|2|1378|22710
525000|3|3|2398|22700
253800|2|2|1507|22710
348200|3|2|1841|22710
298000|2|2|2000|22710
124000|1|2|912|22710
219950|2|2|2000|22710
189000|3|3|2800|22710
287000|2|2|1800|22710
223500|2|2|1485|22710
280500|2|2|1636|22710
350000|3|3|2560|22710
294800|3|3|1917|22710
215700|2|2|1485|22710
750000|4|4|5708|22710
219700|2|2|1485|22710
139250|2|2|1120|22710
440000|5|5|3821|22710
249300|2|2|1518|22710
329000|3|2|1767|22710
181000|2|2|1337|22710
95000|2|1||22744
160000|2|2||22710
239000|2|2||22710
179000|2|2||22710
525000|2|2|1923|22710
237000|2|2|1327|22710
225000|2|2|1545|22710
209000|2|2|1327|22710
395000|3|3|3343|ROSARITO
369000|2|2|2000|22710
895000|3|4|5000|22703
250000|2|2||22710
349900|2|2|1500|22740
158500|1|1|710|22710
229500|1|1|1000|22740
450000|2|2|2400|22740
65000|3|3|147|22710
199500|2|2|1672|22740
440000|5|5|3819|22710
199800|2|2|1435|22713
750000|4|4|5708|22710
124500|3|2|1400|22740
323000|2|2|1000|22710
225000|2|2|1420|22710
235000|2|2|1945|22710
359000|2|2|1700|22710
379000|3|3|3000|22710
380000|3|3|2227|22710
350000|3|3|2550|22710
895000|3|4|5600|22713
84900|1|1|800|22700
180000|1|1||22710
99000|3|2||22710
239000|2|3||22710
229000|1|1||21270
155000|2|2||22710
85000|1|1||22744
150000|2|2||22710
165000|2|2||22710
209000|2|2|1341|22710
325000|2|2|1656|22710
270000|2|2|1200|22710
275000|2|2|1200|22710
299000|2|2|1303|
229000|2|2|1545|22704
480000|3|3|3000|22706
179000|2|2||21040
69000|3|2|1292|22710
365000||||22710
295000||||22710
189000||||22707
55000||||
65000||||
69000||||
72830||||
85000||||
89000||||
89000||||
95000||||
97500||||
99000||||
124000||||
124500||||
139000||||
139250||||
154500||||
155000||||
155000||||
158500||||
159000||||
165000||||
174500||||
175000||||
175000||||
178000||||
179000||||
179000||||
180000||||
181000||||
183000||||
189000||||
189000||||
189000||||
195000||||
198810||||
199500||||
199800||||
209000||||
209000||||
209000||||
215700||||
219700||||
223500||||
225000||||
225000||||
229000||||
229000||||
229000||||
229500||||
230000||||
237000||||
239000||||
239000||||
245000||||
249000||||
249300||||
250000||||
250000||||
253800||||
275000||||
280500||||
284000||||
289000||||
289000||||
294800||||
295000||||
298000||||
298500||||
299000||||
299000||||
323000||||
325000||||
329500||||
348200||||
349900||||
359000||||
365000||||
365000||||
369000||||
369500||||
379000||||
399000||||
410000||||
425000||||
429000||||
449000||||
450000||||
450000||||
475900||||
499000||||
525000||||
525000||||
525000||||
650000||||
748999||||
895000||||
895000||||
995000||||
1000000||||
1000000||||
995000||||
895000||||
895000||||
750000||||
748999||||
525000||||
499000||||
480000||||
475900||||
450000||||
450000||||
449000||||
449000||||
440000||||
429000||||
425000||||
424000||||
410000||||
399000||||
380000||||
375000||||
369500||||
369000||||
365000||||
359000||||
350000||||
349900||||
348200||||
329500||||
329000||||
325000||||
323000||||
320000||||
299000||||
299000||||
298500||||
298000||||
294800||||
289000||||
289000||||
287000||||
284000||||
280500||||
270000||||
253800||||
250000||||
250000||||
249300||||
249000||||
245000||||
239000||||
239000||||
238000||||
237000||||
235000||||
235000||||
230000||||
229999||||
229500||||
229000||||
229000||||
225000||||
225000||||
225000||||
223500||||
219700||||
215700||||
209000||||
209000||||
202000||||
199800||||
199500||||
199000||||
198810||||
195000||||
189000||||
189000||||
183000||||
181000||||
180000||||
179000||||
179000||||
178000||||
175000||||
175000||||
174500||||
172300||||
165000||||
160000||||
159000||||
158500||||
155000||||
155000||||
154500||||
139250||||
139000||||
124500||||
124000||||
99000||||
97500||||
95000||||
89000||||
89000||||
89000||||
85000||||
72830||||
65000||||
